city,district,voivodeship,localization_y,localization_x,market,area,rent,rooms,floor,floors,state,build_yr,build_type,build_material,parking,parking_spots,kitchen,windows,ownership,transport,education,health,recreation,other,other2,additional_area,bathroom,installation,noise,heating,media,direction,price,url
Warszawa,Mokotów,mazowieckie,52.194157,21.0346955,wtorny,58.40,,3,10,15,do remontu,1977,blok,p³yta,przynale¿ne na ulicy,,oddzielna,,spó³dzielcze w³asnoœciowe z KW,,,,,,,balkon*piwnica,,,,,,,570000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-mokotow/ob/19006333
Bydgoszcz,Œródmieœcie,kujawsko-pomorskie,53.12638,17.99945,wtorny,111.81,,3,2,4,,1911,kamienica,ceg³a,,,,,,,,,,,,balkon*piwnica,,,,,,,579000,https://gratka.pl/nieruchomosci/mieszkanie-bydgoszcz-srodmiescie/ob/18802853
,,,,17.99945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://gratka.pl/nieruchomosci/mieszkanie-wroclaw-stare-miasto-ul-rynek-ratusz/ob/19429527
Kraków,Pr¹dnik Bia³y,ma³opolskie,50.09527778,19.92888889,pierwotny,53.26,,3,1,6,,,blok,,w gara¿u,,,plastikowe/PCV,w³asnoœæ,,,,,,,,,,,,,,489992,https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-pradnik-bialy-ul-kazimierza-wyki-okolice/ob/16352049
Ko³obrzeg,ko³obrzeski,zachodniopomorskie,54.18111,15.59995,wtorny,64.10,,3,1,4,,1986,,p³yta,w gara¿u,,oddzielna,,w³asnoœæ,,,,,,,balkon*piwnica,osobne WC,,,,,,370000,https://gratka.pl/nieruchomosci/mieszkanie-kolobrzeg-ul-czarnieckiego/ob/19364929
Kraków,Stare Miasto,ma³opolskie,50.0694,19.9328,wtorny,82.50,,4,1,4,,1930,kamienica,ceg³a,,,,,w³asnoœæ,,,,,,,piwnica,,,,,,,1237000,https://gratka.pl/nieruchomosci/mieszkanie-krakow-stare-miasto-ul-lobzowska/ob/19178129
Kraków,Grzegórzki,ma³opolskie,50.0644105684284,19.9700813032607,pierwotny,36.79,,1,5,10,,,blok,,,,,plastikowe/PCV,w³asnoœæ,,,,,,,,,,,,,,506782,https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-grzegorzki-ul-cystersow/ob/18860697
Warszawa,Bemowo,mazowieckie,52.2290477,20.9098125,pierwotny,83.09,,4,4,4,,2022,blok,beton,,,,,w³asnoœæ,,,,,,,,,,,,,,835890,https://gratka.pl/nieruchomosci/nowe-mieszkanie-warszawa-bemowo-ul-batalionow-chlopskich/ob/19327153
Wroc³aw,Krzyki,dolnoœl¹skie,51.0831,17.0479,pierwotny,20.99,,1,7,7,,,blok,,,,,,,,,,,,,,,,,,,,Zapytajoce,https://gratka.pl/nieruchomosci/nowe-mieszkanie-wroclaw-krzyki-ul-armii-krajowej/ob/13743129
Z¹bki,wo³omiñski,mazowieckie,52.28222,21.1298784,wtorny,104,,4,4,4,,2019,,,,,,,,,,,,,,,,,,,,,895000,https://gratka.pl/nieruchomosci/mieszkanie-zabki-ul-andersena/ob/19066397
